amount,currency
7541.037725783331,PKR
906.1245882877149,CNY
3976.4588246391945,DZD
6598.570882411483,HKD
667.1029193595582,KWD
4059.340828135817,SEK
1425.8670626639193,HKD
6921.415028460223,SSP
2919.8444868366846,KHR
5108.265700371868,VES
7578.871375299385,PGK
5647.563750977459,NGN
1350.2646311463045,SEK
1332.1724579769773,SLL
303.6975023361203,DOP
1481.5049248756034,OMR
7218.070700414489,ARS
4523.926287948525,JPY
1800.1553514641987,PEN
3477.5871716577026,ERN
4355.345705862032,ZMW
4253.572841747465,DKK
2399.9497274952637,MRU
2981.075018501141,RUB
7008.617094465649,THB
6969.136055251873,BRL
817.2945197972872,AFN
2120.807984669438,ZWL
2653.264811155858,MNT
5418.459988457821,ERN
3043.4405119949743,FKP
6115.628183795514,BOB
1048.8686638485676,UGX
4870.896827458718,BAM
7107.392470725177,KWD
2396.593540304819,NOK
262.5646921465705,MNT
2643.766869733339,TTD
6102.655272961721,GMD
6806.418983801906,VUV
1348.1159422497713,MZN
2979.0888373225375,SSP
5554.717470815911,GYD
5752.636731002043,MAD
6127.3289097424195,NOK
6985.034330568628,IMP
1909.6453762703622,FKP
6358.926702749704,UZS
1630.6242224358275,LSL
1211.4366426999484,ALL
1442.6578479417547,TND
794.3358785516306,SZL
4725.0356545113655,BBD
6140.364022377299,SDG
1951.4685924321661,IMP
4892.633349599992,DKK
6797.216125552284,PKR
4934.540021249561,BMD
6491.001747178455,BDT
4815.608192196441,XCD
287.36173482979626,MAD
2446.2433302935938,CAD
6185.671028369322,COP
7447.874130032507,BND
5453.108213396963,MDL
7635.214164761863,RWF
3847.6553477120856,COP
2865.3868010582023,ZAR
2832.62093302491,BAM
1973.489094276502,XOF
3620.715754223894,GIP
3838.2717001324254,GGP
2214.5244562831504,SAR
1033.0419272696467,ZWL
733.8228144706359,XDR
345.66908358351856,CNY
3605.271152944859,ISK
6376.718624537826,NIO
2733.427532958392,TZS
4811.499712426132,VES
2970.7929084821058,LBP
3326.655923363121,HTG
5960.378644641624,TZS
2253.545572103538,AOA
1493.1343804333103,BBD
7327.299074070068,XPT
4655.583787058385,TWD
1265.3754664050107,SSP
3709.6305269317672,XCD
2648.750578896278,IRR
869.1889782093799,ETB
4983.817441327477,MMK
7607.308671149303,CZK
6871.035259450974,GMD
3879.9755481729735,AZN
3035.5910844281916,ALL
1413.7356636777383,NGN
6198.196020203228,KRW
3526.1646651670912,ZMW
3112.7179245637444,KWD
5556.05495284666,HTG
4008.515469515562,NOK
4380.83795820623,ILS
7444.106185116554,IRR
2532.056620068004,SHP
3716.9264049958642,HNL
4076.045358676849,ZAR
4191.568578741426,KMF
2356.7065879788393,XPT
750.3515842492159,CUC
4254.52921280832,BHD
4958.8494549889165,MWK
4804.486335661624,XPD
518.1228083074052,IDR
6204.1639242365,KYD
2161.950674809648,TJS
3878.100298976339,MUR
6740.207337702005,YER
5545.627217087572,ILS
1380.304533393325,GIP
4156.382987070727,TOP
3508.935624395487,CLF
5191.88792540264,XPD
2166.3979154424624,XPT
3213.5862111484926,EGP
1530.1344741851008,GGP
6740.284648850977,ZWL
846.9100826713733,XAU
3294.988351915457,EUR
7071.962226476919,SVC
3676.3628327733413,SLL
877.9058869062846,AZN
3855.566317866175,MOP
7452.306952653725,WST
5886.5178081015065,BAM
509.68569258482205,SEK
4312.6044445841635,BAM
3289.391077535835,DOP
219.1006212263749,MZN
7436.2839350715985,KGS
3179.747317094297,KRW
3723.687036664421,HTG
134.72427222592012,ERN
1301.5190163838622,BZD
314.7459102344724,BBD
6708.527185380939,WST
2999.58008447336,IQD
3383.951390202915,TZS
4337.44799974007,NPR
2195.101657434711,NGN
4733.610938848796,ETB
3972.038404501339,CDF
877.3060881438258,KHR
5188.767199019336,MRU
1592.1803105326057,HNL
695.1718644613106,QAR
945.0902396817163,XPT
1853.8228633024437,STD
2081.1803781542053,UGX
583.7724028151796,CNY
2736.810334720964,KES
188.78943434885457,ILS
2888.1751796384997,UAH
6664.088041113375,TRY
7626.8276663189345,BDT
3167.3730238816397,BOB
2278.610905969235,EUR
3451.2057792625674,GBP
3411.632954718333,IMP
6545.106793649543,AOA
2313.035502901086,BIF
6599.02455856265,TTD
4539.667267164933,MMK
4566.152527055258,MVR
294.332038534732,HTG
1601.8657458515704,BAM
3223.716163214375,HNL
824.8868973956854,WST
3813.8163916812064,THB
810.1414301099474,ILS
3065.3750757225102,TWD
2577.0611635465193,XAU
3524.3965848754488,KRW
3243.0267461520116,BMD
4478.7267664633655,NIO
6994.11327903353,XAG
7617.1494100032505,NGN
1055.954347560689,EGP
7610.830703540542,STD
5669.640119027101,MRU
5365.726041124761,VND
1202.7109010205202,NOK
131.6390562358671,BZD
685.7856344693238,EUR
5103.250283386835,XDR
2315.1168968457996,CUC
4801.390564601403,GYD
7526.941788225183,JPY
5323.596168677665,JEP
1501.5041557015936,OMR
2976.3276989989026,NGN
6313.178045352386,USD
5401.931613068771,UAH
4659.285381971233,MGA
7392.387014449181,KYD
1080.817780094904,SGD
6124.001964518087,EGP
252.5156879785101,HUF
5440.4388401335555,TND
1795.556694512093,XPT
5717.203328804448,IDR
5804.167008701517,GGP
6564.20666005975,YER
7153.35619697681,UAH
6341.050824760706,DKK
3268.9120015607427,DZD
1102.5750570940256,XOF
7143.3907074481995,LSL
4598.242123979576,KMF
5793.076947654744,SDG
1459.8344385873963,KGS
7017.2315284501565,KES
972.6183549529546,BAM
196.35474208911688,FJD
6907.772144969758,AOA
6667.384098873218,KRW
5361.626211827853,SHP
985.7418732212421,ILS
313.9369559182992,AOA
1256.6358059770444,EUR
5456.174124633958,JEP
1397.913235328107,AWG
3564.6570036648045,NAD
3223.362295702618,ZMW
3714.0049485408213,BGN
2710.0839384294163,GNF
2263.389366643259,CAD
4504.836583378746,BND
4236.175435997251,SBD
7591.310285916846,LYD
5290.852526407865,QAR
2561.5923055081203,ZWL
6938.408427076457,TTD
3882.9524127620202,SVC
2832.030244275416,MUR
2595.5770712479084,AMD
6131.313930659791,MVR
7140.365724422164,ERN
702.4874787355038,NOK
556.8100759910172,UGX
6118.408902923258,CLF
4359.477992796705,SZL
4060.4875574821076,IRR
46.9775203389253,IRR
2319.1375663723106,CVE
4839.476653105028,HKD
1919.6179497225717,HRK
2791.0502567906988,INR
411.63159913960914,TZS
790.364990635622,XPF
3480.0742188843074,CNH
3670.7094825323165,QAR
3404.005295658571,CNH
6793.111056880895,AOA
898.8652284515296,BGN
4977.327002262043,QAR
5577.332210289304,DKK
1447.1470571862603,AED
4359.0929173470495,BIF
5650.577637592734,VES
5489.987671686404,KGS
3596.4835225312636,KYD
1266.7117253292033,BYN
2281.6341510530638,TND
1339.5750354701609,KES
2646.601068859951,STN
2594.206542435106,MKD
2276.051019347734,ARS
2988.7976289765547,TZS
3936.893592590178,SCR
7227.1568923559435,DZD
1506.7814681165594,PYG
2584.7732585556732,BOB
3671.67095575149,TND
5046.736673449462,BHD
1436.665860621624,CRC
4864.88337116721,TRY
477.72604144651666,STN
4217.900742066071,ARS
2736.469135475046,BMD
3431.5054965236354,DJF
440.671461323504,MOP
5024.664424302585,BND
2960.739173666684,CHF
1576.0797628855134,GHS
7478.333979580304,TJS
2058.2234197937128,GYD
2679.9353139289697,UZS
6823.947506236188,STD
3961.779063127883,USD
3095.914726137388,AWG
4792.947244957673,XDR
6560.771857023436,SVC
4377.165211745773,MZN
7156.400464496281,GIP
6848.1640757523555,VES
2351.8125067803403,COP
3643.3782154604974,JOD
4677.920051780552,TRY
1271.3528684403916,XCD
3050.9673028848433,AMD
5446.722767163333,XAG
5132.395361485062,IMP
6439.695864960053,PLN
355.33634003624763,XOF
5093.082676580131,CAD
6637.814249789716,BHD
2438.2468326138446,XAU
2474.374108168375,BTC
21.281075452762614,GNF
7317.230250240043,XPD
3549.16787929447,BBD
3892.1476960983423,CUP
3851.3229725488563,ZMW
7099.321174208519,PHP
800.5859904076922,DZD
7110.705123072353,BWP
4251.624090790043,PEN
1583.9093428236445,BTN
4042.0029383423584,ANG
4414.261124287856,GEL
4401.752610287875,PHP
683.8452161853895,OMR
1031.3717025852359,DZD
1999.2751816018758,JEP
7037.840934883569,TMT
5952.345732333064,GBP
5484.954435899356,DZD
1265.2059829895509,RUB
3684.4456072546895,NZD
6458.912002843872,MNT
4988.158450974823,BND
5617.445244301395,JMD
4759.868153297101,SHP
2549.5650962742507,XPT
5250.124883803924,TWD
6314.888813829558,UYU
6527.697613827026,TMT
3856.8619327499027,PEN
2743.6730666242706,MRU
4814.931578599506,TJS
684.271051725605,EUR
2842.8176278516594,EUR
2451.4430923215496,PAB
2272.8838455142145,PKR
5839.5740490994685,ARS
1652.212320580712,SOS
2529.107347832926,TTD
2777.994899111741,AOA
655.8350226854055,LRD
2333.1332709487565,SYP
1731.903096967737,DZD
6278.96887475667,XPD
4963.192889224751,CAD
6211.643116869152,RUB
5803.9090225288,FKP
4454.561794699736,MAD
7605.475687774512,QAR
5848.004091185447,LYD
4986.96615609247,SDG
2278.2606164612343,LBP
7502.632071815961,NIO
559.4443234976326,UYU
537.6107049335388,SOS
5042.1097758779415,QAR
6584.69496465527,MMK
88.24934449909101,PKR
7452.625772749616,CAD
3043.155994609127,CNH
6364.89870498975,GIP
6001.941118216808,BIF
3352.4793590998906,BBD
4014.7821976889604,GGP
2640.5307239131475,EGP
362.06548835146026,KRW
2109.2775084397827,HKD
4556.984840341391,MNT
746.5813315761546,MAD
7423.06219666901,KWD
4587.36642558366,LBP
2035.043385760965,BHD
7024.15965046647,ALL
690.840879031057,XPF
4636.227822528613,HNL
1292.9414984017515,KES
2841.8481709542416,QAR
269.397014359369,KES
5493.6627151390285,ZWL
6354.5499370591615,SCR
3089.3036735385053,EGP
3037.9752155784254,RSD
5169.292252699159,FKP
4067.1076705850073,STN
6618.015835867612,NOK
6945.74210436131,PYG
5056.398523541609,USD
4345.2095881792475,BRL
4392.891102512299,YER
2213.727656454602,MOP
5591.446793673244,STD
5422.023829731588,LBP
1726.241966815502,GIP
2080.302782943594,DJF
4384.74594462197,UGX
6097.21938166719,PEN
6412.36630105503,STD
2159.592251685577,SGD
5963.810495212896,JPY
5755.465083828516,JMD
5596.820693031779,HUF
3171.04790818602,VUV
7116.917332972215,CDF
669.047063414184,ERN
5731.916205742989,GEL
5012.740902016362,AFN
3490.0767258214278,JPY
955.1232986849685,MNT
6058.500862306165,YER
3791.2192225696976,BAM
6670.17966410673,NIO
3988.6791377421814,MOP
2425.410236472455,TWD
5398.031295393792,GTQ
3947.587740802523,AWG
1629.2359118633374,MDL
359.56432626996576,KYD
332.98314119844224,SZL
2031.1413835944913,MGA
2231.698532880839,KWD
1912.3541228154145,BWP
7402.73419856617,NIO
6393.185778730266,STD
2920.1098016881265,ARS
1975.7581931141572,AUD
3472.549093600747,TZS
2856.800340308773,TTD
2701.5269908014147,MOP
5009.172580047761,TWD
4074.4825120109294,EUR
101.3985223442151,MGA
5325.3670876457045,LKR
217.69272283553556,UAH
4314.968402539422,AOA
1500.023851746514,JPY
1849.34238265163,SOS
5692.281424270764,RSD
1099.9053373462662,TND
1845.3952175137126,SOS
5802.350729060674,FJD
735.4336574953735,UGX
5904.949630233489,MNT
7612.951880867015,MRU
3147.0951126152427,SHP
5207.498580189505,XPT
6924.750678080584,KRW
516.420636323546,PGK
6683.573306314996,TZS
7632.257971437235,IQD
5697.719792824187,ISK
2541.9321875515507,QAR
6658.524711968832,CAD
4685.0226988653885,UGX
6805.779262142564,RWF
3596.5439899660028,XDR
3868.1630116733886,AED
975.2388477236149,FJD
905.2805819904984,BAM
2105.551910329749,BOB
1214.3504872680865,PEN
4839.918558240003,BOB
3008.7959654143815,HKD
2633.507345098152,TTD
7480.932986388529,XAG
1896.9841809225156,UAH
4707.974974622892,GNF
418.185616068761,HNL
2370.3573757957765,TRY
4107.522004165128,UAH
2588.205766046718,GBP
1331.4717035111228,GGP
3073.125663686383,CHF
6567.1660667472,AOA
4204.292282153827,INR
6832.272618522571,THB
2361.7281261890853,DKK
3497.0736421506203,NGN
4165.847470307034,PEN
2091.897434555806,ZWL
6546.219660164867,UYU
4697.268904667028,USD
2925.9853977408093,XPF
4909.796552630101,HNL
3935.2650373726956,PLN
7132.446791348034,AED
4705.500407209596,XDR
2589.145207469648,OMR
4191.785372191416,OMR
6169.191343673032,BWP
5097.34796338325,MXN
1359.6853366974258,AZN
6970.967905523234,RWF
3144.9908325436836,VUV
6675.517162675921,XCD
1251.695910808048,MOP
4783.091152210762,EGP
4390.460679811203,VUV
5031.561316539553,AZN
3408.8323206282153,BHD
1430.857238921973,MWK
3175.363779158869,XCD
3333.087055051955,LRD
977.0346066482032,SSP
680.1253579865514,IDR
117.82614359868332,MYR
4934.340252471731,MOP
2464.1935448359727,CNY
7030.613108819417,TJS
7233.278705023482,ZMW
5221.148038552965,NGN
5879.679329403606,KMF
3867.9717752313554,KZT
3721.3750030702386,HUF
4016.093202220322,RSD
5205.510467535816,LAK
1966.5186116139537,FJD
501.1779664098594,BMD
5366.1956295209575,TTD
328.6601066864996,TND
6292.934824158396,BOB
5801.251179412238,IDR
4342.557474562409,CNH
2194.4430685924563,EGP
897.4797925221468,VES
3968.366283777213,RUB
2629.6713568791724,QAR
2893.865649821173,LKR
2433.429439568275,RON
4675.78733532708,IMP
7293.668718749816,TRY
4623.881742834257,MOP
6418.939673680968,MAD
6647.669279354593,CNY
7637.39198391386,FJD
6956.235454146824,BIF
3416.8955324889607,FKP
2687.1019630368583,UYU
7191.488879524772,XPT
5355.375413946372,LSL
5612.926908074519,GIP
2308.4951566461355,JMD
5798.926096929912,ALL
4014.388450865767,UAH
3972.381784337663,IQD
7484.704915263365,DZD
2030.5874058015354,CDF
1917.3145593161257,GYD
5427.096387286056,LKR
2509.2967260084774,TND
6386.538535106539,GHS
3911.5299995250593,VUV
6860.665103458183,WST
5611.4171291669245,KPW
5667.810673575317,GNF
4968.4820049772325,NPR
3740.435179728612,JEP
1441.3666269087119,LBP
6634.527203026187,AMD
6564.061008973183,BDT
7518.724228278749,MXN
1757.346067738909,GYD
674.9426085333446,MRU
6819.647141579083,BWP
4631.879476327574,FKP
5279.453423574097,KMF
1869.8532063938408,BHD
2880.4305023862744,BTN
2453.9617257834334,MYR
1422.4720813322933,XAF
2247.5747206248816,AZN
454.20950088908666,SZL
6981.062470516556,COP
3521.3903567352686,KRW
5834.3629596729115,PYG
4991.931087542858,XOF
3187.0712546729915,SDG
1988.3770183400413,HRK
1809.773045669225,CUC
6663.967817646548,EGP
1226.9945493086266,DJF
6435.4912121762845,VND
5847.448273108184,BDT
6498.821947281888,XDR
3387.1021141502447,BYN
4215.652829475206,ISK
6368.459178791052,LAK
3183.3382656998488,CUP
5316.253003721169,XAF
4102.652861159528,CDF
3640.683265014099,TOP
4130.212589155757,BRL
4239.313988532626,BMD
5388.434302889055,ZWL
4224.98457484665,SCR
2101.544916738051,CLF
6448.134985617247,SZL
610.5387876484394,MXN
7231.906114944271,COP
5655.971173223329,NZD
3382.668454259143,ARS
1609.9882108709924,NAD
5308.6976378267545,WST
30.993196081554046,BGN
553.7838925700597,SOS
3739.932858070192,GYD
6716.977479757958,SAR
3624.6762014037317,UYU
2916.3177040848445,XDR
5058.7376898506855,PAB
2915.9570429081264,BWP
5199.906455175663,GYD
5524.379782586635,TJS
6455.91794150654,XAF
4291.681457291665,MVR
2047.8156290338118,SSP
7222.946875319512,KZT
7043.244408091017,CNH
5422.806832759362,AFN
3657.5368947403367,IDR
5719.827513068479,BZD
947.6546995836884,ANG
5475.46928538277,AZN
2161.2877691463636,HUF
1872.250895367544,CUC
1055.322982454001,ILS
134.02861499950012,XDR
960.3990250618068,CDF
711.1469983256982,LAK
4563.468755849302,XCD
117.48469640096143,CLP
842.3988526230711,KGS
2536.4359961041546,WST
6007.386564218019,CLF
5064.772669366301,KPW
7528.379845937414,ZMW
1501.6025371207468,ISK
5308.705372863899,PAB
3667.7033883897784,HUF
4113.853324212198,TZS
6814.183007165641,CNH
4777.589675132637,XAF
393.4608736068692,STD
6868.831178626626,KHR
1370.4793137695126,MGA
870.5569279828607,MDL
1501.6573065097928,GMD
392.3075391910334,PEN
417.99465939923084,XPD
7506.5909408561465,PGK
810.5803160775902,JMD
4756.061638243744,RSD
70.87955466827881,QAR
2534.6124106945854,TWD
6550.203006045705,DZD
27.66189968647263,BIF
7444.175839651933,TWD
7138.758738031973,CHF
6805.2475627752,USD
5625.213952803419,KWD
3541.878656059339,CZK
4579.6169754891325,ARS
913.8515473012984,CZK
6525.873700376867,MNT
3127.0193339418997,VND
6152.662869557747,TJS
1259.6031780957335,MWK
34.65718118746316,XCD
7057.825398574345,YER
7599.916617269981,GHS
2985.305008580103,BZD
3371.745288200601,JPY
7330.382658831282,AMD
3990.795171391798,CNH
5923.703452719682,OMR
3630.88156531319,BTC
6668.266348518906,JPY
3762.289102627994,STN
4776.540467144563,ARS
2784.867204925285,MAD
1092.916687640273,NZD
3183.6124422416397,OMR
1869.0001519584778,KYD
3413.011305006052,BGN
1205.8979946446434,CZK
2961.6698428163827,BBD
5944.529084701527,MKD
5956.600081667026,KES
7523.771225175732,GIP
7201.400520421786,VUV
2775.4790774754792,THB
5291.980231985319,KGS
3153.029847774437,CLP
5223.400727958315,LYD
4843.510437901276,FKP
1612.0495059868583,CUP
2330.5196960885937,MUR
3654.667943882179,SVC
3208.0289450564956,MZN
5857.013418425728,KZT
4553.5954953027,RON
3056.958170184892,RWF
7592.343551246879,CLP
4071.650298811134,TJS
7594.444847109885,CLP
6422.366720412547,MYR
5037.194814774475,IDR
2373.7336247618064,DJF
1820.225876881055,SLL
169.19586146701533,PEN
4634.4493058283315,PAB
2175.024563562236,MUR
5516.187083100559,SRD
5228.888672057711,GMD
4622.0547181382435,MOP
2664.0297421347095,CAD
6510.503441878884,ZMW
3967.3818913359123,KRW
56.51187606233204,UYU
4850.48079548971,FKP
5744.5804880326,PAB
4284.632023578756,SHP
1493.9966711622283,NAD
337.49016494265754,WST
6965.917789168507,CDF
4468.9955114261475,GIP
6781.188003848591,LSL
1228.2507308926895,DJF
7041.794909275939,INR
763.9844903064517,KES
2091.6119507135227,QAR
5963.361060861082,GEL
1501.1167434003657,IMP
655.1720778969875,CDF
1727.918662948631,BTN
1554.4031410321684,NAD
5740.029492585891,TZS
2342.990184069652,BAM
4337.866728760485,LAK
6187.5481498184145,MMK
7291.0766026614365,DZD
3153.169170139938,GGP
7209.676947300941,UYU
5573.692267342294,ZAR
3209.6760817414774,BIF
4707.97984550612,ZMW
1873.3613195709327,NZD
2597.7400947639876,XAF
1308.8496036823908,MGA
2098.722285995972,DOP
7344.401413265073,XPF
1676.1219006245483,SZL
2150.3238474442333,MWK
6405.03616217208,SOS
5663.483890374213,SOS
1309.4273966759747,KGS
2861.0430411920984,ILS
5398.480596589663,SZL
1970.9312614783619,CHF
7249.616553563841,PAB
1237.442701999143,NZD
4139.209186720803,VND
508.02779663284474,IRR
2723.6205633971467,NPR
7213.61050199439,KZT
3200.8074363390656,MKD
7562.403223802044,STN
1421.5437170007676,IRR
4235.796021146844,SAR
641.4277513040538,PLN
7217.504952894471,AED
768.1763966705055,HTG
6173.134211098031,JMD
83.99585587286289,GYD
3770.6114244544437,LAK
3227.4952714424335,RUB
2402.6762120883513,CAD
1011.788596379676,HTG
4281.064300868985,AMD
6995.383373920959,CHF
2321.683686975788,BRL
6462.682831608119,XCD
4298.8194398571695,ZMW
3516.5017226356745,ARS
5833.221712969881,RUB
2319.0717142544854,MZN
1792.400963871777,SYP
1677.6963305504723,CLF
4474.531461481758,IRR
379.4883404181572,CHF
4808.463977771996,LYD
4546.5380678683905,XCD
4486.114657997896,FKP
7528.552119519655,PHP
6202.710307431439,NZD
342.5825079828837,RUB
1511.228557940447,ERN
696.8991004101348,MXN
4438.836364710213,KGS
1703.5121677375616,KHR
4599.52043824657,BIF
6926.031577128742,NGN
6855.058938308778,CLP
1698.7192453156035,KMF
126.98083108515448,RUB
3208.487242081136,XPF
4263.59343484427,MRU
4756.729497297769,MOP
5982.792673201852,GEL
1760.621349346149,EUR
1400.4943840096971,HKD
5854.663530439846,RWF
3303.754745708849,MNT
1672.8375746607005,IQD
7078.572170635278,ETB
842.2877531716086,BGN
2399.9938851461156,LBP
7211.012957867464,BBD
6667.576690315393,HUF
963.6491073766538,MYR
15.969782046664726,MNT
6235.099716213835,HNL
2296.612355967752,CNH
1452.0519769983655,STD
2313.266309436911,CNY
3825.7256946854486,MNT
2360.344602281361,NPR
5520.649987357368,KGS
6121.433335157012,BIF
3334.2247816361805,MGA
1969.1587458768784,MZN
6003.065698958047,LYD
5687.956735060161,HRK
2052.3624776315764,CLF
4151.382258272888,BOB
316.83134678351985,KZT
1194.9411417223598,BIF
684.8788910149324,SCR
133.31379612502292,THB
998.182173622727,BIF
362.46577428223605,SZL
7319.575430101638,NIO
5114.354830191668,IRR
1277.9461082827752,DOP
3387.2698375307273,UAH
5820.059172819156,SLL
1718.2592164939813,SVC
187.8479800505141,UYU
7247.1017631171,TTD
6667.515220546443,XPT
6520.301576246236,BWP
5094.517599992151,BSD
1050.839086726327,CNY
2382.6171731004797,LKR
2347.80088628637,GHS
2418.0365950888154,GEL
4687.144060494535,BTC
5448.667671266194,MOP
1062.3868285614244,VUV
2380.759370730898,NAD
1771.5539507068352,RUB
6295.614149515425,MNT
3028.394312989974,TTD
2190.7546797342206,KES
4258.760368766338,RUB
5680.196781816133,ANG
3287.4619507368116,MZN
461.04987971122284,SGD
29.5566675498238,TZS
7573.955007061107,BDT
1687.9735285256252,PHP
1585.875410097706,SEK
2265.575941566309,GYD
857.5574081874144,UZS
4994.353786210481,EUR
652.509563436465,HRK
3493.6716410313784,VES
5138.308110820708,CZK
165.69359072848363,RSD
1851.7651940793303,RSD
3114.2642471703916,PKR
7022.871732273554,CHF
1261.8095275021074,JOD
5925.901037244421,BBD
3564.177938121963,IQD
1099.6879011364492,GGP
1846.0027646257306,SLL
865.3351619551298,WST
1510.3232295300281,GBP
7636.253692097224,BYN
55.75851685281842,NOK
7039.366156978143,BTC
3055.4239264502107,GTQ
4012.6906107156383,UAH
6254.866751658255,LYD
